fid,terrace,distance,angle,x,y,name
"1",T3,0,174.369317242323,677960.41936,5337331.68376,T3-1
"1",T3,10,174.369317242323,677961.40051,5337321.73201,T3-2
"1",T3,20,174.369317242323,677962.38167,5337311.78026,T3-3
"1",T3,30,174.369317242323,677963.36283,5337301.82851,T3-4
"1",T3,40,174.369317242323,677964.34399,5337291.87676,T3-5
"1",T3,50,174.369317242323,677965.32515,5337281.92501,T3-6
"1",T3,60,170.537677792175,677966.87889,5337272.04911,T3-7
"1",T3,70,170.537677792175,677968.52288,5337262.18517,T3-8
"1",T3,80,189.819300638745,677967.90832,5337252.32827,T3-9
"1",T3,90,189.819300638745,677966.20290,5337242.47476,T3-10
"1",T3,100,189.819300638745,677964.49749,5337232.62126,T3-11
"1",T3,110,189.819300638745,677962.79207,5337222.76775,T3-12
"1",T3,120,196.557071376122,677960.08528,5337213.14890,T3-13
"1",T3,130,196.557071376122,677957.23557,5337203.56354,T3-14
"1",T3,140,190.491477011865,677954.48486,5337193.95437,T3-15
"1",T3,150,190.491477011865,677952.66397,5337184.12155,T3-16
"1",T3,160,175.42607874007,677951.15572,5337174.27257,T3-17
"1",T3,170,175.42607874007,677951.95317,5337164.30442,T3-18
